from,to,area_en,area_es,area_fr,qty,m2,remarks_en,remarks_es,remarks_fr,room_en,room_es,room_fr
ONC,PBTR-H-9,patient holding area,área de espera del paciente,zone d'attente des patients,8,9,Open plan with observation from Staff Station.  Two holding bays per bunker recommended (additional required where brachytherapy is provided). Total number of bays required should be informed by the anticipated volume of inpatients and external transfers requiring a trolley bay. Stage 1 recovery bays will be required for post anaesthetic care in specialist services - refer to PBTR-RS1. ,Planta diáfana con observación desde Staff Station. Se recomiendan dos bahías de espera por búnker (se requiere adicional cuando se proporciona braquiterapia). El número total de bahías requeridas debe ser informado por el volumen anticipado de pacientes hospitalizados y transferencias externas que requieren una bahía de trolebús. Se necesitarán bahías de recuperación de la etapa 1 para la atención postanestésica en los servicios especializados, consulte PBTR-RS1.,"Patient Bay - Holding, 9m2","Bahía de Pacientes - Holding, 9m2","Patient Bay - Holding, 9m2"
ONC,1BR-H-12,patient holding area,área de espera del paciente,zone d'attente des patients,1,12 (o),Optional depending on service profile eg to support paediatrics. ,"Opcional según el perfil del servicio, por ejemplo, para dar soporte a la pediatría.","Facultatif selon le profil de service, par exemple pour soutenir la pédiatrie.","1 Bed Room - Holding, 12m2","Habitación de 1 cama - Holding, 12m2","1 Chambre à coucher - Holding, 12m2"
ONC,BHWS-B,patient holding area,área de espera del paciente,zone d'attente des patients,2,1,,yaya,,"Bay - Handwashing, Type B","Bahía - Lavado de manos, tipo B","Baie - Lavage des mains, type B"
ONC,ENS-ST-A1,patient holding area,área de espera del paciente,zone d'attente des patients,1,5 (o),Optional collocated with 1 bedroom - holding where provided. ,Opcional colocado con 1 dormitorio - tenencia donde esté previsto.,Colocalisé en option avec 1 chambre - en tenant là où il est prévu.,"Ensuite - Inboard - Alternative 1, 5m2","Baño - Intraborda - Alternativa 1, 5m2","Ensuite - Inboard - Alternative 1, 5m2"
ONC,WCPT,patient holding area,área de espera del paciente,zone d'attente des patients,1,4,,yaya,,Toilet - Patient,Aseo - Paciente,Toilette - Patient
ONC,BBEV-OP,patient holding area,área de espera del paciente,zone d'attente des patients,1,4,,yaya,,"Bay - Beverage, Open Plan, 4m2","Bahía - Bebida, Plan abierto, 4m2","Baie - Boissons, plan ouvert, 4m2"
ONC,BLIN,patient holding area,área de espera del paciente,zone d'attente des patients,1,2,Part of open plan area.,Parte del área diáfana.,Une partie de la zone à aire ouverte.,Bay - Linen,Bahía - Lino,Baie - Lin
ONC,BRES,patient holding area,área de espera del paciente,zone d'attente des patients,1,1.5,Part of open plan area.,Parte del área diáfana.,Une partie de la zone à aire ouverte.,Bay - Resuscitation Trolley,Carro de reanimación Bay,Bay - Chariot de réanimation
ONC,CLN-MED-20,patient holding area,área de espera del paciente,zone d'attente des patients,1,14,Accessible to other areas of the Unit.,Accesible a otras áreas de la Unidad.,Accessible aux autres secteurs de l'Unité.,"Clean Store / Medication Room, 20m2","Almacén limpio / sala de medicación, 20m2","Magasin propre / Salle des médicaments, 20m2"
ONC,DTUR-10,patient holding area,área de espera del paciente,zone d'attente des patients,1,10,Accessible to other areas of the Unit.,Accesible a otras áreas de la Unidad.,Accessible aux autres secteurs de l'Unité.,"Dirty Utility, 10m2","Utilidad sucia, 10m2","Utilitaire sale, 10m2"
ONC,DISP-8,patient holding area,área de espera del paciente,zone d'attente des patients,1,8,"If combined with Dirty Utility, 1 x 14m2.","Si se combina con Dirty Utility, 1 x 14m2.","Si combiné avec Dirty Utility, 1 x 14m2.","Disposal Room, 8m2","Sala de desechos, 8m2","Salle d'élimination, 8m2"
ONC,CLRM-5,patient holding area,área de espera del paciente,zone d'attente des patients,1,5,,yaya,,"Cleaner's Room, 5m2","Cuarto de limpieza, 5m2","Salle de nettoyage, 5m2"
ONC,CIR,patient holding area,área de espera del paciente,zone d'attente des patients,0.32,,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
ONC,,medical engineering,Ingeniería médica,ingénierie médicale,1,30,,yaya,,,,
ONC,,medical engineering,Ingeniería médica,ingénierie médicale,1,25,,yaya,,,,
ONC,,medical engineering,Ingeniería médica,ingénierie médicale,1,20,Locate close to bunkers so access to water tank is facilitated.,Ubíquelo cerca de los búnkeres para facilitar el acceso al tanque de agua.,S'installer à proximité des bunkers pour faciliter l'accès au réservoir d'eau.,,,
ONC,,medical engineering,Ingeniería médica,ingénierie médicale,1,30,"Includes write-up space for technicians
/ visiting contractors and storage for
spare parts.","Incluye espacio de escritura para técnicos
/ contratistas visitantes y almacenamiento para
piezas de repuesto.","Comprend un espace de rédaction pour les techniciens
/ visites d'entrepreneurs et stockage pour
pièces de rechange.",,,
ONC,CIR,medical engineering,Ingeniería médica,ingénierie médicale,0.3,,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
ONC,OFF-S9,staff work areas,áreas de trabajo del personal,zones de travail du personnel,1,9,Requirements dependent on staffing profile and local jurisdictional policies. ,Los requisitos dependen del perfil del personal y las políticas jurisdiccionales locales.,Les exigences dépendent du profil du personnel et des politiques juridictionnelles locales.,"Office - Single Person, 9m2","Oficina - Persona sola, 9m2","Bureau - Personne seule, 9m2"
ONC,,staff work areas,áreas de trabajo del personal,zones de travail du personnel,,4.4,Requirements dependent on staffing profile and local jurisdictional policies. ,Los requisitos dependen del perfil del personal y las políticas jurisdiccionales locales.,Les exigences dépendent du profil du personnel et des politiques juridictionnelles locales.,,,
ONC,MEET-L-30,staff work areas,áreas de trabajo del personal,zones de travail du personnel,1,50,Size of room will depend on number of staff to be accomodated for MDT meetings and/or access to other meeting room as part of integrated cancer services.  Requires AV equipment including videoconferencing systems. Use of operable wall between medium and large meeting rooms may be used for additional capacity.,"El tamaño de la sala dependerá de la cantidad de personal que se alojará en las reuniones del MDT y / o del acceso a otra sala de reuniones como parte de los servicios integrados de cáncer. Requiere equipo AV, incluidos sistemas de videoconferencia. El uso de una pared manejable entre las salas de reuniones medianas y grandes se puede utilizar para aumentar la capacidad.","La taille de la salle dépendra du nombre de membres du personnel à accueillir pour les réunions PCT et/ou de l'accès à d'autres salles de réunion dans le cadre des services intégrés de cancérologie. Nécessite un équipement audiovisuel, y compris des systèmes de vidéoconférence. L'utilisation d'un mur fonctionnel entre les salles de réunion moyennes et grandes peut être utilisée pour une capacité supplémentaire.","Meeting Room, 30m2","Sala de reuniones, 30m2","Salle de réunion, 30m2"
ONC,MEET-L-20,staff work areas,áreas de trabajo del personal,zones de travail du personnel,1,25,Requires AV equipment including videoconferencing systems. ,"Requiere equipo AV, incluidos sistemas de videoconferencia.","Nécessite un équipement audiovisuel, y compris des systèmes de vidéoconférence.","Meeting Room, 20m2","Sala de reuniones, 20m2","Salle de réunion, 20m2"
ONC,INTV,staff work areas,áreas de trabajo del personal,zones de travail du personnel,,9,Number dependent on service requirements. Requires AV equipment including videoconferencing systems. ,"El número depende de los requisitos del servicio. Requiere equipo AV, incluidos sistemas de videoconferencia.","Le nombre dépend des exigences du service. Nécessite un équipement audiovisuel, y compris des systèmes de vidéoconférence.",Interview Room,Sala de entrevistas,Salle d'interview
ONC,STPS-8,staff work areas,áreas de trabajo del personal,zones de travail du personnel,1,4,,yaya,,"Store - Photocopy/ Stationery, 8m2","Tienda - Fotocopias / Papelería, 8m2","Magasin - Photocopie/papeterie, 8m2"
ONC,SRM-35,staff work areas,áreas de trabajo del personal,zones de travail du personnel,1,35,Area will depend on staffing profile and operational policies.,El área dependerá del perfil de la dotación de personal y las políticas operativas.,La zone dépendra du profil du personnel et des politiques opérationnelles.,"Staff Room, 35m2","Sala de personal, 35m2","Salle du personnel, 35m2"
ONC,BPROP,staff work areas,áreas de trabajo del personal,zones de travail du personnel,1,6,,yaya,,"Bay - Property, Staff","Bahía - Propiedad, Personal","Baie - Propriété, Personnel"
ONC,WCST,staff work areas,áreas de trabajo del personal,zones de travail du personnel,5,3,To be distributed throughout the Unit.,Se distribuirá por toda la Unidad.,A distribuer dans toute l'Unité.,Toilet - Staff,Aseo - Personal,Toilette - Personnel
ONC,SHST,staff work areas,áreas de trabajo del personal,zones de travail du personnel,1,3 (o),Optional depending on approach to end of trip facilities. ,Opcional dependiendo de la aproximación a las instalaciones de fin de viaje.,Facultatif selon l'approche des installations de fin de voyage.,Shower - Staff,Ducha - Personal,Douche - Personnel
ONC,CIR,staff work areas,áreas de trabajo del personal,zones de travail du personnel,0.25,,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
FAR,WAIT-10,reception,recepción,accueil,1,15,"Areas are indicative and will depend on the number of people to be accommodated and volume of outpatient and discharge dispensing. Electronic queueing systems should be considered and will impact on waiting area given patients can go elsewhere while awaiting notification that their medications are ready.
1.2m2 recommended per seat, 1.5m2 per wheelchair space.","Las áreas son indicativas y dependerán del número de personas a albergar y del volumen de dispensación ambulatoria y de alta. Se deben considerar los sistemas de colas electrónicas que tendrán un impacto en el área de espera dado que los pacientes pueden ir a otra parte mientras esperan la notificación de que sus medicamentos están listos.
Se recomiendan 1,2m2 por asiento, 1,5m2 por espacio para silla de ruedas.","Les superficies sont indicatives et dépendront du nombre de personnes à héberger et du volume de dispensation ambulatoire et de sortie. Des systèmes de file d'attente électroniques devraient être envisagés et auront un impact sur la zone d'attente étant donné que les patients peuvent aller ailleurs en attendant d'être informés que leurs médicaments sont prêts.
1,2 m2 recommandé par siège, 1,5 m2 par emplacement pour fauteuil roulant.","Waiting, 10m2","Espera, 10m2","Attente, 10m2"
FAR,PHA-CO,reception,recepción,accueil,1,12,May be divided into separate patient and hospital staff access points in larger services.,Puede dividirse en puntos de acceso separados para pacientes y personal hospitalario en servicios más grandes.,Peut être divisé en points d'accès séparés pour les patients et le personnel hospitalier dans les services plus importants.,Pharmacy - Counter,Farmacia - Mostrador,Pharmacie - Comptoir
FAR,INTV,reception,recepción,accueil,,9,Interview / counselling room. Number dependent on anticipated utilisation. Access to telehealth required to support off-site consultation and patient education. Dual access from Waiting and Pharmacy. Recommend use of glazing to support visual access for safety while providing acoustic privacy.,"Sala de entrevistas / asesoramiento. Número que depende de la utilización anticipada. Se requiere acceso a telesalud para respaldar la consulta externa y la educación del paciente. Doble acceso desde Espera y Farmacia. Recomendar el uso de acristalamientos para respaldar el acceso visual por motivos de seguridad y, al mismo tiempo, brindar privacidad acústica.",Salle d'entretien/conseil. Le nombre dépend de l'utilisation prévue. Accès à la télésanté requis pour soutenir la consultation hors site et l'éducation des patients. Double accès depuis l'Attente et la Pharmacie. Recommandez l'utilisation de vitrage pour soutenir l'accès visuel pour la sécurité tout en offrant une intimité acoustique.,Interview Room,Sala de entrevistas,Salle d'interview
FAR,CIR,reception,recepción,accueil,,25%,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
FAR,AHDR,after hours,fuera de horas,après des heures,1,6,May be located close to clinical areas or on the periphery of the pharmacy with internal and external access.  Requirement will depend on adoption of automated technology. May be provided as a 'drop box' linked to a pharmacy robot. Size will be dependent on operational practices and volume of medicines to be stored.  ADCs will enable recording of access data.,"Puede estar ubicado cerca de áreas clínicas o en la periferia de la farmacia con acceso interno y externo. El requisito dependerá de la adopción de tecnología automatizada. Puede proporcionarse como un ""buzón"" vinculado a un robot de farmacia. El tamaño dependerá de las prácticas operativas y el volumen de medicamentos que se almacenarán. Los ADC permitirán el registro de datos de acceso.",Peut être situé à proximité des zones cliniques ou en périphérie de la pharmacie avec accès interne et externe. Les besoins dépendront de l'adoption de la technologie automatisée. Peut être fourni sous forme de « boîte de dépôt » liée à un robot de pharmacie. La taille dépendra des pratiques opérationnelles et du volume de médicaments à stocker. Les ADC permettront l'enregistrement des données d'accès.,After Hours Drug Store,Farmacia After Hours,Drug Store après les heures d'ouverture
FAR,CIR,after hours,fuera de horas,après des heures,,25%,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
FAR,PHA-DS,dispensary,dispensario,dispensaire,,4,"Number of workstation dependent on service requirements. May include EMM triage stations. VPA Guidelines recommend one station for each 150 prescriptions or part thereof dispensed on a typical day between 9am and 6pm.  Inpatient, outpatient, clinical trials and manufacturing dispensing areas may need to be separated in larger services.","Número de estaciones de trabajo en función de los requisitos del servicio. Puede incluir estaciones de triaje de EMM. Las pautas de VPA recomiendan una estación por cada 150 recetas o parte de las mismas dispensadas en un día típico entre las 9 a. m. y las 6 p. m. Es posible que sea necesario separar las áreas de dispensación de fabricación y ensayos clínicos para pacientes hospitalizados, pacientes ambulatorios en servicios más grandes.","Le nombre de postes de travail dépend des exigences du service. Peut inclure des stations de triage EMM. Les directives de l'APV recommandent une station pour chaque 150 ordonnances ou une partie de celles-ci délivrées au cours d'une journée type entre 9h et 18h. Les patients hospitalisés, les patients ambulatoires, les essais cliniques et les zones de distribution de fabrication peuvent devoir être séparés dans des services plus importants.",Pharmacy - Dispensing Workstation,Farmacia - Estación de trabajo de dispensación,Pharmacie - Poste d'exécution des ordonnances
FAR,BS-1,dispensary,dispensario,dispensaire,,2,"Assume shared between 4 dispensing workstations., ","Suponga compartido entre 4 estaciones de trabajo de dispensación.,","Supposons partagé entre 4 postes de distribution.,","Bay - Storage, 1m2","Bahía - Almacenamiento, 1m2","Baie - Rangement, 1m2"
FAR,BS-4,dispensary,dispensario,dispensaire,1,6,Storage for trolleys with dispensed items awaiting collection. Includes refrigerated items.,Almacenamiento para carros con artículos dispensados ​​en espera de recogida. Incluye artículos refrigerados.,Rangement pour chariots avec articles distribués en attente de collecte. Comprend les articles réfrigérés.,"Bay - Storage, 4m2","Bahía - Almacenamiento, 4m2","Baie - Rangement, 4m2"
FAR,,dispensary,dispensario,dispensaire,1,16,Refrigerators and freezers. Also requires access for distribution workflows.,Frigoríficos y congeladores. También requiere acceso para flujos de trabajo de distribución.,Réfrigérateurs et congélateurs. Nécessite également un accès pour les workflows de distribution.,,,
FAR,STGN,dispensary,dispensario,dispensaire,1,12,Distribution and dispensing consumables such as labels. Also requires access for distribution workflows.,Distribución y dispensación de consumibles como etiquetas. También requiere acceso para flujos de trabajo de distribución.,Distribution et distribution de consommables tels que des étiquettes. Nécessite également un accès pour les workflows de distribution.,Store - General,Tienda - General,Magasin - Général
FAR,BHWS-B,dispensary,dispensario,dispensaire,,1,Number and location dependent on layout.,El número y la ubicación dependen del diseño.,Le nombre et l'emplacement dépendent de la disposition.,"Bay - Handwashing, Type B","Bahía - Lavado de manos, tipo B","Baie - Lavage des mains, type B"
FAR,STAD,dispensary,dispensario,dispensaire,1,10,Assume wall-mounted safe for small pharmacy with collocated workstation. Larger services supporting theatres and ICU will require a strongroom or secure cabinet given high volume of accountable drugs.  Will also store drugs awaiting collection.  May include refrigerated S8s. Refer to local jurisdictional requirements for storage of S4/S4Ds. Direct access to sink required. ,Suponga que la caja fuerte montada en la pared para pequeñas farmacias con estación de trabajo colocada. Los servicios más grandes de apoyo a los teatros y la UCI requerirán una cámara fuerte o un gabinete seguro dado un gran volumen de medicamentos responsables. También almacenará medicamentos en espera de ser recolectados. Puede incluir S8 refrigerados. Consulte los requisitos jurisdiccionales locales para el almacenamiento de S4 / S4D. Se requiere acceso directo al fregadero.,Supposons un coffre-fort mural pour petite pharmacie avec poste de travail colocalisé. Les services plus importants prenant en charge les théâtres et les soins intensifs nécessiteront une chambre forte ou une armoire sécurisée étant donné le volume élevé de médicaments comptables. Stockera également les médicaments en attente de collecte. Peut inclure des S8 réfrigérés. Reportez-vous aux exigences juridictionnelles locales pour le stockage des S4/S4D. Accès direct à l'évier requis.,Store - Accountable Drugs,Tienda - Medicamentos responsables,Magasin - Médicaments responsables
FAR,,dispensary,dispensario,dispensaire,,,"Optional, provided within strong room for larger services depending on local work flows. Will be required for small services with wall mounted drug safe only. ","Opcional, proporcionado dentro de la cámara acorazada para servicios más grandes según los flujos de trabajo locales. Se requerirá solo para servicios pequeños con caja fuerte para medicamentos montada en la pared.","Facultatif, fourni dans la chambre forte pour des services plus importants en fonction des flux de travail locaux. Sera requis pour les petits services avec un coffre-fort mural uniquement.",,,
FAR,PHA-PR,dispensary,dispensario,dispensaire,1,16,Preparation of extemporaneous compounds. Provision in smaller hospitals will depend on service needs. ,Preparación de compuestos extemporáneos. La provisión en hospitales más pequeños dependerá de las necesidades del servicio.,Préparation de composés extemporanés. La prestation dans les petits hôpitaux dépendra des besoins en services.,"Pharmacy - Preparation Room, Non-Aseptic","Farmacia - Sala de preparación, no aséptica","Pharmacie - Salle de préparation, non aseptique"
FAR,BES,dispensary,dispensario,dispensaire,1,2,Emergency use. Should include eye wash. Accessible from compounding areas. ,Uso de emergencia. Debe incluir lavado de ojos. Accesible desde áreas de compuestos.,Utilisation d'urgence. Devrait inclure une douche oculaire. Accessible depuis les zones de composition.,Bay - Emergency Shower,Bahía - Ducha de emergencia,Baie - Douche d'urgence
FAR,,dispensary,dispensario,dispensaire,1,10,"Space allocation dependent on volume of items to be packed or repacked.   May include specialised packs eg resuscitation trolley supplies, anaphylaxis kits.","La asignación de espacio depende del volumen de artículos a embalar o reembalar. Puede incluir paquetes especializados, por ejemplo, suministros para carritos de reanimación, kits de anafilaxia.","L'attribution de l'espace dépend du volume d'articles à emballer ou à reconditionner. Peut inclure des packs spécialisés, par exemple des fournitures de chariot de réanimation, des kits d'anaphylaxie.",,,
FAR,CLUP-7,dispensary,dispensario,dispensaire,1,4 (o),Area to store measures etc. for dispensing and wash up / dry after use. Collocate with prep/repacking area. This area may be combined with the Non-Aseptic Preparation Room.,"Área para almacenar medidas, etc. para dispensar y lavar / secar después de su uso. Colóquelo en el área de preparación / reembalaje. Esta área puede combinarse con la Sala de preparación no aséptica.","Zone de stockage des mesures, etc. pour la distribution et le lavage / séchage après utilisation. Colocaliser avec la zone de préparation/remballage. Cette zone peut être combinée avec la salle de préparation non aseptique.","Clean-Up Room, 7m2","Sala de limpieza, 7m2","Salle de nettoyage, 7m2"
FAR,CIR,dispensary,dispensario,dispensaire,,25%,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
FAR,,bulk store,tienda a granel,magasin en vrac,1,14,"Area requirement will depend on operational arrangements. Combine with bulk store for small hospitals. May be collocated with or remote from the Store - Bulk. Requires ergonomic bench for efficient processing, checking and unpacking of incoming stock and workstation to support purchasing activities.","El requisito de área dependerá de los arreglos operativos. Combinar con almacén a granel para pequeños hospitales. Puede colocarse junto con la Tienda o de forma remota desde ella: a granel. Requiere un banco ergonómico para un procesamiento, verificación y desembalaje eficiente del stock entrante y la estación de trabajo para respaldar las actividades de compra.","La superficie requise dépendra des dispositions opérationnelles. Combinez avec un magasin en vrac pour les petits hôpitaux. Peut être colocalisé avec ou à distance du Store - Bulk. Nécessite un banc ergonomique pour un traitement, une vérification et un déballage efficaces du stock entrant et un poste de travail pour soutenir les activités d'achat.",,,
FAR,STBK-40,bulk store,tienda a granel,magasin en vrac,1,130,Requirements will depend on scope of service and provision of vendor managed inventory solutions.  Area allocations assume that bulk fluids and dialysis fluids are not stored in the pharmacy. If pharmacy robot is being provided this will also include separate storage for items that cannot be stored within the robot.  Requirements to support other services across the network to be considered. Flammable liquids and hazardous substance storage to be determined based on local hospital policies. Disaster management requirements to be considered. ,"Los requisitos dependerán del alcance del servicio y la provisión de soluciones de inventario administradas por el proveedor. Las asignaciones de área asumen que los líquidos a granel y los líquidos de diálisis no se almacenan en la farmacia. Si se proporciona un robot de farmacia, esto también incluirá un almacenamiento separado para los artículos que no se pueden almacenar dentro del robot. Se deben considerar los requisitos para admitir otros servicios en la red. El almacenamiento de líquidos inflamables y sustancias peligrosas se determinará según las políticas del hospital local. Se deben considerar los requisitos de gestión de desastres.","Les exigences dépendront de l'étendue du service et de la fourniture de solutions d'inventaire gérées par le fournisseur. Les attributions de zone supposent que les fluides en vrac et les fluides de dialyse ne sont pas stockés dans la pharmacie. Si un robot de pharmacie est fourni, cela inclura également un stockage séparé pour les articles qui ne peuvent pas être stockés dans le robot. Les exigences de prise en charge d'autres services sur le réseau doivent être prises en compte. Le stockage des liquides inflammables et des substances dangereuses doit être déterminé en fonction des politiques hospitalières locales. Exigences de gestion des catastrophes à prendre en compte.","Store - Bulk, 40m2","Tienda - A granel, 40m2","Magasin - Vrac, 40m2"
FAR,,bulk store,tienda a granel,magasin en vrac,,2.2,For ADC terminal / other depending on local requirements.,Para terminal ADC / otro según los requisitos locales.,Pour borne ADC / autre selon les exigences locales.,,,
FAR,PHA-DB,bulk store,tienda a granel,magasin en vrac,,6,"Number of workstation dependent on service requirements. Requires bench space, PC, barcoding system, PDE  devices and space for trolleys to “pick” and store items for delivery. Will be collocated with Bay - Trolleys ","Número de estaciones de trabajo en función de los requisitos del servicio. Requiere espacio en el banco, PC, sistema de códigos de barras, dispositivos PDE y espacio para que los carros “recojan” y almacenen los artículos para la entrega. Se colocará junto con Bay - Trolleys","Le nombre de postes de travail dépend des exigences du service. Nécessite de la place sur une paillasse, un PC, un système de codes-barres, des appareils PDE et de l'espace pour les chariots pour « choisir » et stocker les articles à livrer. Sera colocalisé avec Bay - Trolleys",Pharmacy - Distribution Workstation,Farmacia - Estación de trabajo de distribución,Pharmacie - Poste de distribution
FAR,PHA-RE,bulk store,tienda a granel,magasin en vrac,2,6,Number of workstations dependent on volume of items to be packed or repacked. Smaller service will combine with distribution workstation.,El número de estaciones de trabajo depende del volumen de artículos a embalar o reembalar. El servicio más pequeño se combinará con la estación de trabajo de distribución.,Nombre de postes de travail en fonction du volume d'articles à emballer ou à reconditionner. Un service plus petit se combinera avec un poste de travail de distribution.,Pharmacy - Returns Workstation,Farmacia - Estación de trabajo de devoluciones,Pharmacie - Poste de travail pour les retours
FAR,,bulk store,tienda a granel,magasin en vrac,,12,Distribution trollies / carts for delivery of imprest stock to clinical units.,Trollies de distribución / carros para la entrega de stock de anticipos a las unidades clínicas.,Chariots/chariots de distribution pour la livraison du stock d'avances aux unités cliniques.,,,
FAR,BPTS,bulk store,tienda a granel,magasin en vrac,,1,,yaya,,Bay - Pneumatic Tube,Bahía - Tubo neumático,Baie - Tube pneumatique
FAR,STFS-10,bulk store,tienda a granel,magasin en vrac,1,10,"Old prescriptions, registers.  Requirements will depend on digitisation of records, mainly relating to S8 records. Assumes off-site storage of archives. ","Recetas antiguas, registros. Los requisitos dependerán de la digitalización de registros, principalmente relacionados con registros S8. Asume el almacenamiento de archivos fuera del sitio.","Anciennes ordonnances, registres. Les exigences dépendront de la numérisation des enregistrements, principalement en ce qui concerne les enregistrements S8. Suppose le stockage hors site des archives.","Store - Files, 10m2","Tienda - Archivos, 10m2","Magasin - Dossiers, 10m2"
FAR,DISP-8,bulk store,tienda a granel,magasin en vrac,1,8,Separate waste streams including recycling and confidential waste.,"Separe los flujos de desechos, incluido el reciclaje y los desechos confidenciales.","Séparez les flux de déchets, y compris le recyclage et les déchets confidentiels.","Disposal Room, 8m2","Sala de desechos, 8m2","Salle d'élimination, 8m2"
FAR,CLRM-5,bulk store,tienda a granel,magasin en vrac,1,5,,yaya,,"Cleaner's Room, 5m2","Cuarto de limpieza, 5m2","Salle de nettoyage, 5m2"
FAR,CIR,bulk store,tienda a granel,magasin en vrac,,25%,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
FAR,OFF-S9,adminstration,administración,administration,1,9,Number and area allocation will depend on staff profile and local jurisdictional policies.,La asignación de número y área dependerá del perfil del personal y las políticas jurisdiccionales locales.,Le nombre et la répartition géographique dépendront du profil du personnel et des politiques juridictionnelles locales.,"Office - Single Person, 9m2","Oficina - Persona sola, 9m2","Bureau - Personne seule, 9m2"
FAR,,adminstration,administración,administration,,4.4,Number and area allocation will depend on staff profile and local jurisdictional policies. Consider provision of telehealth pods and work space for students.,La asignación de número y área dependerá del perfil del personal y las políticas jurisdiccionales locales. Considere la posibilidad de proporcionar módulos de telesalud y espacio de trabajo para los estudiantes.,Le nombre et la répartition géographique dépendront du profil du personnel et des politiques juridictionnelles locales. Envisagez de fournir des modules de télésanté et un espace de travail pour les étudiants.,,,
FAR,STPS-8,adminstration,administración,administration,1,8,Provided as a bay in smaller units.,Se proporciona como una bahía en unidades más pequeñas.,Fourni comme une baie dans des unités plus petites.,"Store - Photocopy/ Stationery, 8m2","Tienda - Fotocopias / Papelería, 8m2","Magasin - Photocopie/papeterie, 8m2"
FAR,MEET-L-15,adminstration,administración,administration,1,40,,yaya,,"Meeting Room, 15m2","Sala de reuniones, 15m2","Salle de réunion, 15m2"
FAR,BPROP,adminstration,administración,administration,4,2,,yaya,,"Bay - Property, Staff","Bahía - Propiedad, Personal","Baie - Propriété, Personnel"
FAR,BBEV-OP,adminstration,administración,administration,,-,,yaya,,"Bay - Beverage, Open Plan, 4m2","Bahía - Bebida, Plan abierto, 4m2","Baie - Boissons, plan ouvert, 4m2"
FAR,SRM-15,adminstration,administración,administration,1,20,Requirements will depend on staff profile and opportunity to share with adjacent services. ,Los requisitos dependerán del perfil del personal y la oportunidad de compartir con servicios adyacentes.,Les exigences dépendront du profil du personnel et de la possibilité de partager avec les services adjacents.,"Staff Room, 15m2","Sala de personal, 15m2","Salle du personnel, 15m2"
FAR,WCST,adminstration,administración,administration,4,3,Number in accordance with staff profile. Access to an accessible toilet will be required.,Número de acuerdo con el perfil del personal. Se requerirá acceso a un baño accesible.,Nombre conforme au profil du personnel. L'accès à des toilettes accessibles sera requis.,Toilet - Staff,Aseo - Personal,Toilette - Personnel
FAR,CIR,adminstration,administración,administration,,25%,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
FAR,SHST,aseptic production,producción aséptica,fabrication aseptique,1,10,Size will depend on number of people to be accommodated.,El tamaño dependerá del número de personas que se alojarán.,La taille dépendra du nombre de personnes à loger.,Shower - Staff,Ducha - Personal,Douche - Personnel
FAR,STSS-20,aseptic production,producción aséptica,fabrication aseptique,1,24,This indicative area allocation assumes the inclusion of 3 clean workstations. Area requirements will depend on the number and type of cabinet to be installed and requires expert input.  Isolators will require more room than clean workstations or CDSCs.,Esta asignación de área indicativa asume la inclusión de 3 estaciones de trabajo limpias. Los requisitos de área dependerán del número y tipo de gabinete que se instalará y requieren la participación de expertos. Los aisladores requerirán más espacio que las estaciones de trabajo limpias o los CDSC.,Cette répartition indicative des surfaces suppose la prise en compte de 3 postes de travail propres. Les exigences en matière de superficie dépendront du nombre et du type d'armoire à installer et nécessitent l'intervention d'experts. Les isolateurs nécessiteront plus d'espace que les postes de travail propres ou les CDSC.,"Store - Sterile Stock, 20m2","Almacén - Stock estéril, 20m2","Magasin - Stock stérile, 20m2"
FAR,,aseptic production,producción aséptica,fabrication aseptique,1,26,Indicative area allocation. Actual area requirements to be confirmed in consultation with GMP cleanroom consultant.,Asignación de superficie indicativa. Los requisitos reales del área se confirmarán en consulta con el consultor de sala limpia de GMP.,Attribution de zone indicative. Les exigences de surface réelles doivent être confirmées en consultation avec le consultant en salle blanche GMP.,,,
FAR,,aseptic production,producción aséptica,fabrication aseptique,1,12,Indicative area allocation. Actual area requirements to be confirmed in consultation with GMP cleanroom consultant.,Asignación de superficie indicativa. Los requisitos reales del área se confirmarán en consulta con el consultor de sala limpia de GMP.,Attribution de zone indicative. Les exigences de surface réelles doivent être confirmées en consultation avec le consultant en salle blanche GMP.,,,
FAR,BES,aseptic production,producción aséptica,fabrication aseptique,1,2,,yaya,,Bay - Emergency Shower,Bahía - Ducha de emergencia,Baie - Douche d'urgence
FAR,CIR,aseptic production,producción aséptica,fabrication aseptique,,25%,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
FAR,PHA-DS,clinica trials - optional,ensayos clínicos - opcional,essais cliniques - facultatif,4,4,Number of workstations is indicative and will depend on no. of clinical trials. ,El número de estaciones de trabajo es indicativo y dependerá del no. de ensayos clínicos.,Le nombre de postes de travail est indicatif et dépendra du non. d'essais cliniques.,Pharmacy - Dispensing Workstation,Farmacia - Estación de trabajo de dispensación,Pharmacie - Poste d'exécution des ordonnances
